Age,Area,CreditAvlb,Firsthand,FloorCount,FloorNumber,Frontage,Fuel,Furniture,MaintenanceFee,Price,Room,Town,Heating_num
0,240,2,2,15,15.0,1,3,0,250,1200000,5,6,7
2,190,2,1,11,9.0,0,3,0,0,799000,5,7,7
3,300,2,1,3,3.0,1,3,0,60,448000,5,7,5
0,412,2,1,14,13.0,1,3,0,0,975000,6,5,5
0,206,2,1,14,10.0,1,3,0,0,590000,5,5,5
18,245,2,1,3,3.0,1,3,0,50,415000,5,9,5
35,185,2,1,3,3.0,1,3,0,70,525000,5,9,5
40,90,2,1,3,0.0,1,3,0,325,225000,3,9,6
15,145,2,1,4,4.0,1,3,0,50,479000,4,9,5
0,205,2,1,15,15.0,1,3,0,100,549000,5,6,7
20,76,2,1,7,7.0,1,3,0,120,195000,3,9,6
0,215,2,2,14,12.0,1,3,0,150,590000,5,6,7
0,180,2,2,9,1.0,0,3,0,0,719000,5,7,5
40,95,2,1,6,4.0,1,3,0,250,290000,3,9,6
30,85,0,1,4,0.25,1,3,0,0,130000,3,9,5
20,120,2,1,4,0.5,0,3,0,0,110000,3,1,5
0,185,2,2,14,13.0,1,3,0,0,780000,5,7,7
0,180,2,1,17,7.0,0,3,0,0,870000,5,7,7
16,145,2,1,3,2.0,1,3,0,70,515000,4,9,5
0,225,2,2,16,1.0,1,3,0,100,549000,5,6,7
0,180,2,2,12,3.0,0,3,0,0,280000,5,2,7
0,216,2,2,35,21.0,1,3,0,510,1175000,5,10,7
2,245,2,2,3,3.0,1,3,0,0,630000,7,9,5
3,193,2,2,16,15.0,0,3,0,250,539000,5,6,5
7,130,2,1,4,1.0,1,3,0,0,240000,4,9,5
15,140,2,1,2,1.0,1,3,0,50,310000,4,9,5
1,212,2,1,12,5.0,1,3,0,500,1100000,5,9,7
0,215,2,2,13,1.0,1,3,0,150,530000,5,6,7
4,216,2,1,25,14.0,1,3,0,500,1190000,5,9,7
4,72,2,1,43,21.0,1,3,0,420,420000,2,9,7
0,190,2,2,12,11.0,1,3,0,0,879000,5,7,7
1,210,2,2,10,10.0,0,3,0,300,915000,5,7,7
17,110,2,1,3,1.0,0,3,0,80,247000,3,9,5
18,270,2,1,3,3.0,1,3,0,80,450000,5,9,5
12,130,2,1,4,1.0,1,3,0,75,229000,4,9,5
2,300,2,2,3,3.0,0,3,0,50,750000,6,9,5
0,180,2,2,12,12.0,0,3,0,0,320000,5,2,7
18,130,2,2,3,3.0,1,3,0,30,389000,4,9,5
0,300,2,2,10,10.0,1,3,0,350,1200000,6,9,7
0,300,2,2,10,10.0,0,3,0,350,1175000,5,9,7
35,95,2,1,5,0.5,1,3,0,40,158000,3,6,5
0,195,2,2,16,1.0,1,3,0,0,480000,5,6,7
12,140,2,1,4,3.0,1,3,0,30,295000,4,3,5
1,190,2,2,13,8.0,1,3,0,120,530000,5,5,7
7,165,2,1,5,3.0,1,3,0,50,435000,5,9,5
10,155,2,1,4,1.0,0,3,0,250,650000,4,9,5
18,170,2,1,4,2.0,0,3,0,100,620000,5,9,5
8,185,2,1,15,9.0,1,3,0,500,820000,5,9,7
0,195,2,2,7,2.0,0,3,0,100,490000,5,6,5
34,170,2,1,2,1.0,1,3,0,100,368000,5,9,5
17,145,2,1,5,3.0,1,3,0,0,155000,4,1,5
0,175,2,2,6,5.0,0,3,0,0,385000,5,1,5
10,110,2,1,3,0.5,1,3,0,0,275000,3,9,5
22,130,2,2,2,2.0,0,3,0,40,389000,4,9,5
14,300,2,1,3,3.0,0,3,0,50,695000,7,6,5
4,135,2,1,3,1.0,1,3,0,50,345000,4,6,5
1,200,2,2,16,7.0,0,3,0,150,1200000,5,6,7
23,120,2,1,4,3.0,0,3,0,100,610000,4,9,5
2,180,2,2,8,8.0,0,3,0,0,829000,5,7,1
20,195,2,1,3,3.0,1,3,0,0,340000,4,6,5
4,120,2,1,3,3.0,0,3,0,0,349000,4,5,5
3,160,2,1,4,0.0,1,3,0,0,180000,5,3,5
0,200,2,1,7,7.0,1,3,0,0,375000,5,3,5
12,150,2,1,4,2.0,1,3,0,0,250000,4,3,5
3,175,2,2,8,8.0,0,3,0,200,728000,5,7,7
11,115,2,1,4,0.5,1,3,0,30,129000,3,2,5
0,175,2,2,8,2.0,0,3,0,0,725000,4,7,5
4,200,2,1,9,7.0,1,3,0,0,779000,5,7,7
0,180,2,2,10,1.0,0,3,0,0,749000,5,7,7
0,235,2,2,13,1.0,0,3,0,0,500000,5,6,7
10,220,2,1,11,9.0,1,3,0,300,795000,5,9,5
9,180,2,1,4,4.0,1,3,0,125,540000,5,9,5
0,180,2,2,10,2.0,1,3,0,0,729000,5,7,5
1,75,2,1,22,2.0,1,3,0,315,645000,2,9,7
5,121,2,1,15,1.0,0,3,0,125,249000,4,7,5
8,180,2,1,10,4.0,1,3,0,0,660000,5,7,5
3,195,2,1,10,1.0,1,3,0,0,735000,5,7,7
0,190,2,2,12,1.0,0,3,0,0,765000,5,7,7
0,200,2,2,17,2.0,1,3,0,0,425000,5,5,7
0,190,2,2,10,9.0,1,3,0,0,680000,5,4,7
21,140,2,1,14,1.0,1,3,0,50,237000,4,6,5
1,180,2,2,9,9.0,0,3,0,0,739000,5,7,7
0,200,2,2,17,6.0,0,3,0,150,785000,5,6,7
11,270,2,1,3,3.0,1,3,0,50,425000,6,9,5
0,225,2,2,16,1.0,0,3,0,0,775000,5,6,7
13,250,2,1,3,3.0,0,3,0,0,319000,6,5,5
0,210,2,2,25,1.0,0,3,0,250,775000,5,6,7
25,105,2,1,8,0.5,1,3,0,160,280000,3,9,6
23,170,2,1,2,2.0,1,3,0,40,380000,5,9,5
40,90,2,1,4,2.0,1,3,0,300,320000,3,9,6
20,260,2,1,2,2.0,0,3,0,370,500000,5,9,6
13,180,2,1,18,1.0,0,3,0,300,529000,5,7,5
30,85,2,1,4,0.25,1,3,0,50,145000,3,9,5
25,135,2,1,3,1.0,1,3,0,20,350000,5,9,5
4,210,2,1,11,10.0,1,3,0,550,1425000,5,9,7
2,100,2,1,12,2.0,1,3,1,350,525000,2,9,6
3,120,2,2,3,2.0,1,3,0,0,150000,4,3,5
14,110,2,1,3,0.5,0,3,0,30,154000,3,3,5
10,150,2,1,6,2.0,1,3,0,50,224000,4,6,5
4,110,2,1,3,2.0,1,3,0,0,155000,3,6,5
8,130,2,1,3,1.0,0,3,0,0,265000,4,6,5
11,125,2,1,3,1.0,1,3,0,0,270000,4,6,5
0,305,2,2,4,2.0,0,3,0,1000,1950000,5,9,7
0,210,2,2,3,3.0,1,3,0,50,515000,5,9,5
0,230,2,2,27,15.0,1,3,0,150,720000,5,6,7
0,245,2,2,31,6.0,1,3,0,300,745000,5,6,7
5,185,2,1,12,11.0,1,3,0,0,839000,5,7,7
2,135,2,2,9,9.0,1,3,0,75,430000,4,3,5
0,190,2,1,10,7.0,0,3,0,0,439000,5,5,5
4,90,2,1,14,14.0,0,3,1,185,334000,3,7,7
2,180,2,1,33,2.0,1,3,0,375,665000,5,8,7
0,145,2,2,12,1.0,1,3,0,100,245000,4,3,5
0,200,2,2,28,5.0,0,3,0,0,815000,5,10,7
1,190,2,2,12,3.0,1,3,0,250,799000,5,7,7
8,400,2,1,22,21.0,0,3,0,350,1750000,6,9,6
